First Name,Last Name,Employee Status,Subject,Hire Date,% Allocated,Full time?,do not edit! --->,Certification,Certification,Active?,
Jason,Bourne,Teacher,PE,39690,75%,Yes,,Physical ed,Theater,YES,
Jason,Bourne,Teacher,Drafting,1/14/2019,25%,Yes,,Physical ed,Theater,YES,
Alicia,Keys,Teacher,Music,8/15/2001,100%,Yes,,Instr. music,Vocal music,YES,
Ada,Lovelace,Teacher,#REF!,38572,100%,Yes,,PENDING,Computers,YES,
Desus,Nice,Administration,Dean,2/25/2017,100%,Yes,,PENDING,,YES,
Chien-Shiung,Wu,Teacher,Physics,11037,50%,Yes,,Science 6-12,Physics,YES,
Chien-Shiung,Wu,Teacher,Chemistry,11037,50%,Yes,,Science 6-12,Physics,YES,
,,,,,,,,,,,
James,Joyce,Teacher,English,9/20/1999,50%,No,,,English 6-12,YES,
Hedy,Lamarr,Teacher,Science,27919,50%,No,,PENDING,,YES,
Carlos,Boozer,Coach,Basketball,42221,#N/A,No,,Physical ed,,YES,
Young,Boozer,Coach,,34700,#N/A,No,,,Political sci.,YES,
Micheal,Larsen,Teacher,English,40071,80%,No,,Vocal music,English,YES,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
